Éý³Á,ºá,×Ý
-0.5016,2.14193,0.23874
-0.63985,2.3486,0.17969
-0.75882,2.49982,0.13083
-0.86289,2.59493,0.09613
-0.96189,2.63662,0.07051
-1.0609,2.62558,0.04329
-1.1528,2.55819,0.00541
-1.22186,2.43131,-0.04297
-1.25399,2.24335,-0.09725
-1.24524,2.00108,-0.14993
-1.20216,1.71418,-0.20022
-1.13365,1.39437,-0.25242
-1.04367,1.04843,-0.3129
-0.92935,0.67995,-0.3823
-0.78562,0.29321,-0.4563
-0.61209,-0.10457,-0.52888
-0.41449,-0.50438,-0.59525
-0.20171,-0.89495,-0.65493
0.01819,-1.26727,-0.70841
0.24013,-1.61389,-0.75457
0.45989,-1.92941,-0.78974
0.67144,-2.20887,-0.80948
0.86713,-2.44461,-0.81123
1.04012,-2.62941,-0.79467
1.18493,-2.75697,-0.76045
1.29871,-2.82391,-0.70746
1.37789,-2.82909,-0.63488
1.41864,-2.77388,-0.54225
1.41836,-2.66029,-0.43164
1.3772,-2.49058,-0.30701
1.29926,-2.26589,-0.17205
1.18945,-1.98823,-0.02817
1.05065,-1.66189,0.12176
0.88449,-1.29611,0.27646
0.69223,-0.90239,0.42957
0.47931,-0.49221,0.57599
0.25381,-0.0746,0.71112
0.02379,0.34527,0.83399
-0.20608,0.76514,0.9438
-0.43527,1.17599,1.03914
-0.66351,1.56611,1.11601
-0.88627,1.92129,1.17029
-1.09523,2.23186,1.20053
-1.28093,2.49396,1.20785
-1.43792,2.70919,1.19591
